sep=,
DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.563 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
147, 742164214, 0.42899355, 0.47692347, 0.61953974, -0.45241472, -0.04097216, -0.29926485, -0.32493114, 0
148, 742180881, 0.4277202, 0.47583658, 0.62071556, -0.45315275, 0.17567538, -0.3660514, -0.08371925, 0
149, 742197548, 0.42625925, 0.47519743, 0.6214878, -0.45414048, 0.11720103, -0.8380908, 0.0032186508, 0
150, 742214215, 0.4249755, 0.47449094, 0.62272906, -0.45438164, -0.6985828, -0.7902678, 0.46960545, 0
151, 742230882, 0.4230498, 0.47440386, 0.62352884, -0.45517212, -1.2460808, -0.64506567, 0.46548462, 0
152, 742247549, 0.42015505, 0.47536033, 0.62339574, -0.45703432, -0.8325815, -0.8700976, 0.073693275, 0
153, 742264216, 0.4168149, 0.47687748, 0.62281644, -0.45929623, -0.62529224, -0.6575759, 0.049656868, 0
154, 742280883, 0.41250712, 0.47917756, 0.6216739, -0.4623294, 0.07976864, -0.67190117, -0.12130833, 0
155, 742297550, 0.40871593, 0.481304, 0.6210235, -0.46435723, 0.435804, -0.3501735, -0.61892986, 0
156, 742314217, 0.40577424, 0.4832305, 0.6210831, -0.46485654, -0.20567818, 0.31417206, -0.073067665, 0
157, 742330884, 0.40267456, 0.48553482, 0.6206239, -0.46576306, -0.28978992, 0.11963296, 0.042116165, 0
158, 742347551, 0.4006376, 0.4871417, 0.6205492, -0.46594137, -0.08428249, 0.10869245, -0.066186905, 0
159, 742364218, 0.39885148, 0.48877499, 0.6203005, -0.46609426, 0.021631584, 0.25430655, -0.004965782, 0
160, 742380885, 0.39761835, 0.49027038, 0.6197723, -0.46627977, 0.046532717, 0.20850451, 0.12112427, 0
161, 742397552, 0.3971539, 0.49136353, 0.6194631, -0.46593574, -0.45118907, 0.20911793, 0.63569546, 0
162, 742414219, 0.39650616, 0.49247307, 0.6187348, -0.46628374, -0.829225, 0.18281248, 0.7102423, 0
163, 742430886, 0.39606366, 0.49341697, 0.61777496, -0.4669343, -0.41198176, 0.18516752, 0.297369, 0
164, 742447553, 0.39626947, 0.49426895, 0.61665547, -0.46733794, -0.2261712, 0.24778669, 0.079854965, 0
165, 742464220, 0.39685813, 0.49537292, 0.61527914, -0.46748373, -0.33591762, 0.24456084, 0.2462368, 0
166, 742480887, 0.3975325, 0.4966782, 0.6135519, -0.467796, -0.40754145, 0.08192923, 0.41414165, 0
167, 742497554, 0.39846525, 0.49787763, 0.6117661, -0.46806583, -0.29902837, -0.018613042, 0.17013645, 0
168, 742514221, 0.39964765, 0.49889952, 0.61003995, -0.46822256, -0.12103003, -0.166204, 0.11664581, 0
169, 742530888, 0.40097427, 0.49974474, 0.6084788, -0.46821827, 0.065726444, -0.4363514, 0.12926483, 0
170, 742547555, 0.4024983, 0.50038403, 0.6072096, -0.46787545, 0.19448845, -0.22536878, -0.11863804, 0
171, 742564222, 0.40380633, 0.50122803, 0.6059636, -0.4674603, 0.65335095, -0.23357014, -0.49168682, 0
172, 742580889, 0.40519825, 0.50229067, 0.60459733, -0.4668843, 0.5720501, -0.58085203, -0.20545006, 0
173, 742597556, 0.40652853, 0.503515, 0.6032113, -0.46620113, 0.12161563, -0.16886516, 0.11054325, 0
174, 742614223, 0.40762362, 0.5047542, 0.6020133, -0.4654527, 0.088567235, -0.14069068, -0.04235077, 0
175, 742630890, 0.40873435, 0.5057815, 0.601116, -0.46452227, 0.3120165, -0.13422735, -0.032025337, 0
176, 742647557, 0.41008526, 0.5065059, 0.6004841, -0.4633582, 0.77097374, -0.20017418, -0.20395565, 0
177, 742664224, 0.41176513, 0.50702435, 0.5999706, -0.46196443, 1.0533957, -0.27921954, -0.464015, 0
178, 742680891, 0.4137115, 0.50744194, 0.5995728, -0.46028045, 0.82130015, -0.2481528, -0.22550869, 0
179, 742697558, 0.41549596, 0.5080638, 0.5987389, -0.459071, 0.6943653, -0.4344533, 0.30453014, 0
180, 742714225, 0.41749123, 0.5081889, 0.59840226, -0.45755866, 0.35071686, -0.34659842, 0.08573437, 0
181, 742730892, 0.41916305, 0.50824934, 0.5983208, -0.45606732, -0.0672099, -0.23728895, 0.08778572, 0
182, 742747559, 0.42063513, 0.50850517, 0.59809554, -0.45472008, -0.4573406, -0.13092339, 0.5361748, 0
183, 742764226, 0.4215049, 0.5089076, 0.59762585, -0.45408145, -0.4777274, -0.04578909, 0.39059067, 0
184, 742780893, 0.42218056, 0.509422, 0.59704286, -0.45364386, -0.1668846, -0.17735842, 0.15584755, 0
185, 742797560, 0.42298898, 0.5098702, 0.596539, -0.4530498, -0.48000413, -0.33307812, 0.09818363, 0
186, 742814227, 0.42382535, 0.5103816, 0.59601986, -0.45237517, -0.9399216, -0.2010356, 0.2946272, 0
187, 742830894, 0.4241532, 0.5113943, 0.59495956, -0.45231983, -0.7574568, -0.60836625, 0.13876247, 0
188, 742847561, 0.424323, 0.5128195, 0.5937468, -0.4521403, -0.5803679, -0.9329287, -0.2014656, 0
189, 742864228, 0.42438936, 0.51462907, 0.59245867, -0.4517116, -0.26727098, -0.8745389, -0.25001907, 0
190, 742880895, 0.4246692, 0.5165207, 0.5912796, -0.4508336, 0.30136475, -0.60419756, -0.25731182, 0
191, 742897562, 0.42571992, 0.51807237, 0.59042895, -0.4491741, 0.7323934, -0.16393267, -0.34625435, 0
192, 742914229, 0.42752475, 0.5191427, 0.59022087, -0.44648966, 0.619592, 0.25480455, -0.3618555, 0
193, 742930896, 0.42959952, 0.5199147, 0.59055907, -0.44314003, 0.29145932, 0.13819583, 0.13710594, 0
194, 742947563, 0.43135422, 0.5204065, 0.5910478, -0.44019666, 0.19354501, -0.023147672, 0.34882545, 0
195, 742964230, 0.4325343, 0.5208377, 0.591199, -0.43832192, 0.20964509, -0.20280604, 0.31455135, 0
196, 742980897, 0.43329015, 0.521468, 0.59087723, -0.4372584, 0.29374006, -0.2570198, -0.040617943, 0
197, 742997564, 0.4333835, 0.5226526, 0.59008676, -0.43681902, 0.3802038, 0.18151912, -0.2473793, 0
198, 743014231, 0.4326772, 0.52450985, 0.58864254, -0.4372412, 0.55583805, 0.15945347, -0.2712593, 0
199, 743030898, 0.43157056, 0.52655673, 0.5872065, -0.43780547, 0.63949585, 0.019617733, -0.092372894, 0
